start_profile,strategy,weather_seed,status,loss_reason,months_played,final_budget,final_energy_autarky,final_citizen_satisfaction,final_supply_security,final_score,demand_growth_cap
current,storage_first,52,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,53,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,54,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,55,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,56,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,57,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,58,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,59,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,60,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,61,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,62,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,63,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,64,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,65,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,66,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,67,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,68,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,69,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,70,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,71,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,72,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,73,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,74,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,75,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,76,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,77,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,78,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,79,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,80,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,81,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,82,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,83,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,84,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,85,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,86,lost,bankrupt,5,0,12,72,15,9,2.0
current,storage_first,87,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,88,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,89,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,90,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,91,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,92,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,93,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,94,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,95,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,96,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,97,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,98,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,99,lost,bankrupt,5,0,10,72,15,9,2.0
